file,canonical,status_html,loc_html,status_ext,loc_ext,gsc_form,mismatch
about.html,/about.html,200,,200,,-,DUP-200-BOTH
bureau-blacklist-loan-2026.html,/bureau-blacklist-loan-2026.html,200,,200,,-,DUP-200-BOTH
car-for-cash-2026.html,/car-for-cash-2026.html,200,,200,,-,DUP-200-BOTH
car-insurance-2026.html,/car-insurance-2026.html,200,,200,,-,DUP-200-BOTH
car-refinance-2026.html,/car-refinance-2026.html,200,,200,,-,DUP-200-BOTH
car-still-installment-loan-2026.html,/car-still-installment-loan-2026.html,200,,200,,ext,DUP-200-BOTH|GSC-EXT-vs-CANON-HTML
car-title-loan-compare-2026.html,/car-title-loan-compare-2026.html,200,,200,,-,DUP-200-BOTH
cash-card-easy-2026.html,/cash-card-easy-2026.html,200,,200,,-,DUP-200-BOTH
cash-card-vs-credit-card-2026.html,/cash-card-vs-credit-card-2026.html,200,,200,,html,DUP-200-BOTH
close-debt-fast-2026.html,/close-debt-fast-2026.html,200,,200,,-,DUP-200-BOTH
contact.html,/contact.html,200,,200,,-,DUP-200-BOTH
credit-bureau-check-2026.html,/credit-bureau-check-2026.html,200,,200,,-,DUP-200-BOTH
credit-card-cashback-2026.html,/credit-card-cashback-2026.html,200,,200,,-,DUP-200-BOTH
credit-card-debt-lawsuit-2026.html,/credit-card-debt-lawsuit-2026.html,200,,200,,html,DUP-200-BOTH
credit-card-documents-2026.html,/credit-card-documents-2026.html,200,,200,,-,DUP-200-BOTH
credit-card-easy-approval-2026.html,/credit-card-easy-approval-2026.html,200,,200,,-,DUP-200-BOTH
credit-card-freelance-2026.html,/credit-card-freelance-2026.html,200,,200,,-,DUP-200-BOTH
credit-card-installment-0-2026.html,/credit-card-installment-0-2026.html,200,,200,,-,DUP-200-BOTH
credit-card-interest-2026.html,/credit-card-interest-2026.html,200,,200,,-,DUP-200-BOTH
credit-card-krungsri-2026.html,/credit-card-krungsri-2026.html,200,,200,,-,DUP-200-BOTH
credit-card-salary-15000-2026.html,/credit-card-salary-15000-2026.html,200,,200,,html,DUP-200-BOTH
credit-card-salary-20000-2026.html,/credit-card-salary-20000-2026.html,200,,200,,ext,DUP-200-BOTH|GSC-EXT-vs-CANON-HTML
credit-card-salary-30000-2026.html,/credit-card-salary-30000-2026.html,200,,200,,"ext,html",DUP-200-BOTH|GSC-EXT-vs-CANON-HTML
critical-illness-insurance-2026.html,/critical-illness-insurance-2026.html,200,,200,,-,DUP-200-BOTH
debt-calculator.html,/debt-calculator,200,,200,,-,DUP-200-BOTH
debt-clinic-sam-2026.html,/debt-clinic-sam-2026.html,200,,200,,-,DUP-200-BOTH
debt-collection-rights-2026.html,/debt-collection-rights-2026.html,200,,200,,-,DUP-200-BOTH
debt-consolidation-2026.html,/debt-consolidation-2026.html,200,,200,,-,DUP-200-BOTH
debt-restructuring-2026.html,/debt-restructuring-2026.html,200,,200,,ext,DUP-200-BOTH|GSC-EXT-vs-CANON-HTML
disclaimer.html,/disclaimer.html,200,,200,,-,DUP-200-BOTH
emergency-fund-2026.html,/emergency-fund-2026.html,200,,200,,-,DUP-200-BOTH
first-credit-card-student-2026.html,/first-credit-card-student-2026.html,200,,200,,-,DUP-200-BOTH
freelance-loan-2026.html,/freelance-loan-2026.html,200,,200,,ext,DUP-200-BOTH|GSC-EXT-vs-CANON-HTML
health-insurance-salary-2026.html,/health-insurance-salary-2026.html,200,,200,,-,DUP-200-BOTH
high-yield-savings-2026.html,/high-yield-savings-2026.html,200,,200,,-,DUP-200-BOTH
home-land-for-cash-2026.html,/home-land-for-cash-2026.html,200,,200,,-,DUP-200-BOTH
how-to-save-money-2026.html,/how-to-save-money-2026.html,200,,200,,html,DUP-200-BOTH
index.html,/,200,,200,,-,DUP-200-BOTH
insurance-compare-2026.html,/insurance-compare-2026.html,200,,200,,-,DUP-200-BOTH
kept-interest-rate-2026.html,/kept-interest-rate-2026.html,200,,200,,-,DUP-200-BOTH
kept-savings-2026.html,/kept-savings-2026.html,200,,200,,-,DUP-200-BOTH
krungsri-credit-card-rejected-2026.html,/krungsri-credit-card-rejected-2026.html,200,,200,,-,DUP-200-BOTH
life-insurance-tax-2026.html,/life-insurance-tax-2026.html,200,,200,,-,DUP-200-BOTH
lifestyle-credit-card-2026.html,/lifestyle-credit-card-2026.html,200,,200,,-,DUP-200-BOTH
links.html,/links,301,/links,200,,-,-
loan-cash-2026.html,/loan-cash-2026.html,200,,200,,-,DUP-200-BOTH
loan-online-legal-2026.html,/loan-online-legal-2026.html,200,,200,,-,DUP-200-BOTH
motorcycle-title-loan-2026.html,/motorcycle-title-loan-2026.html,200,,200,,-,DUP-200-BOTH
move-informal-debt-2026.html,/move-informal-debt-2026.html,200,,200,,-,DUP-200-BOTH
mutual-fund-beginner-2026.html,/mutual-fund-beginner-2026.html,200,,200,,-,DUP-200-BOTH
park-money-high-interest-2026.html,/park-money-high-interest-2026.html,200,,200,,-,DUP-200-BOTH
pay-off-credit-card-debt-2026.html,/pay-off-credit-card-debt-2026.html,200,,200,,-,DUP-200-BOTH
personal-loan-2026.html,/personal-loan-2026.html,200,,200,,-,DUP-200-BOTH
quiz.html,/quiz,301,/quiz,200,,-,-
rebuild-credit-after-debt-2026.html,/rebuild-credit-after-debt-2026.html,200,,200,,-,DUP-200-BOTH
refinance-home-2026.html,/refinance-home-2026.html,200,,200,,-,DUP-200-BOTH
retirement-planning-salary-2026.html,/retirement-planning-salary-2026.html,200,,200,,-,DUP-200-BOTH
salary-budgeting-2026.html,/salary-budgeting-2026.html,200,,200,,-,DUP-200-BOTH
tax-deduction-salary-2026.html,/tax-deduction-salary-2026.html,200,,200,,-,DUP-200-BOTH
title-loan-2026.html,/title-loan-2026.html,200,,200,,-,DUP-200-BOTH
travel-insurance-vacation-2026.html,/travel-insurance-vacation-2026.html,200,,200,,-,DUP-200-BOTH
wage-garnishment-debt-2026.html,/wage-garnishment-debt-2026.html,200,,200,,-,DUP-200-BOTH
